model,window,sensitivity,specificity,ppv,npv
LR,3,"0.753 [0.736, 0.770]","0.780 [0.755, 0.805]","0.239 [0.222, 0.257]","0.972 [0.971, 0.973]"
LR,6,"0.763 [0.739, 0.786]","0.772 [0.746, 0.799]","0.225 [0.209, 0.241]","0.974 [0.973, 0.976]"
LR,12,"0.752 [0.728, 0.776]","0.767 [0.741, 0.793]","0.203 [0.190, 0.216]","0.976 [0.974, 0.977]"
LR,24,"0.753 [0.717, 0.790]","0.776 [0.745, 0.806]","0.180 [0.167, 0.194]","0.980 [0.978, 0.982]"
Tabnet,3,"0.765 [0.739, 0.791]","0.787 [0.761, 0.814]","0.248 [0.231, 0.266]","0.974 [0.972, 0.976]"
Tabnet,6,"0.754 [0.710, 0.798]","0.788 [0.749, 0.826]","0.240 [0.210, 0.271]","0.974 [0.971, 0.978]"
Tabnet,12,"0.740 [0.718, 0.762]","0.785 [0.765, 0.804]","0.213 [0.198, 0.228]","0.975 [0.973, 0.977]"
Tabnet,24,"0.729 [0.697, 0.762]","0.786 [0.762, 0.810]","0.182 [0.170, 0.193]","0.978 [0.976, 0.980]"
TST,3,"0.799 [0.767, 0.832]","0.784 [0.758, 0.809]","0.253 [0.237, 0.269]","0.978 [0.975, 0.981]"
TST,6,"0.802 [0.768, 0.837]","0.779 [0.752, 0.805]","0.239 [0.223, 0.255]","0.979 [0.976, 0.982]"
TST,12,"0.783 [0.756, 0.811]","0.791 [0.771, 0.810]","0.227 [0.214, 0.240]","0.979 [0.977, 0.981]"
TST,24,"0.781 [0.758, 0.804]","0.798 [0.765, 0.830]","0.204 [0.181, 0.226]","0.983 [0.981, 0.984]"
