Feature,Positive,Negative,Summed Absolute Attributions
Foley,1032.978904516887,1155.2279933428363,2188.2068978597235
Tidal Volume (observed),665.1503147492576,756.2300236663174,1421.380338415575
Height (cm),1217.3978895464782,23.7844593495836,1241.1823488960617
Ventilator Tank #1,641.844556210044,528.8911617349004,1170.7357179449443
Void,489.3428514767559,621.6555407589655,1110.9983922357214
Ventilator Tank #2,442.0398634492275,547.5293093690999,989.5691728183274
Tidal Volume (set),264.42884489423903,598.5089981306601,862.9378430248992
Platelet Count,499.2946363691021,335.6701298719232,834.9647662410252
Glucose (serum),256.35385877868134,391.45266975010315,647.8065285287845
Non Invasive Blood Pressure systolic,330.3980367198226,303.79712612033063,634.1951628401532
Admission Weight (lbs.),93.2975615894199,538.0719094050198,631.3694709944398
Heart rate Alarm - High,198.9158213132681,423.08279962014376,621.9986209334119
Temperature Fahrenheit,320.6811328676331,293.93219392148404,614.6133267891171
Non Invasive Blood Pressure mean,331.8550664184997,258.03986868626583,589.8949351047655
Vti High,240.74425782091967,310.46495852296823,551.2092163438879
Sodium (serum),212.78761175944163,337.1591371716551,549.9467489310967
Tidal Volume (spontaneous),271.16556019051006,224.1480759453474,495.31363613585745
Arterial O2 pressure,108.61346648080395,335.65696457185214,444.2704310526561
Non-Invasive Blood Pressure Alarm - High,288.6293335924025,135.96405894923882,424.59339254164126
O2 saturation pulseoxymetry,163.95343430142023,259.3470685904867,423.30050289190694
