Feature,Positive,Negative,Summed Absolute Attributions
Foley,896.9175864858793,1226.8305201239946,2123.748106609874
Void,293.70961291904206,1081.1631387218242,1374.8727516408662
Tidal Volume (observed),806.4233296643545,285.03291235049835,1091.4562420148527
Ventilator Tank #1,451.7563593468818,416.1445701134896,867.9009294603713
Temperature Fahrenheit,170.43109230989856,561.6555312298938,732.0866235397923
Non Invasive Blood Pressure systolic,235.55566338308626,491.98145473775656,727.5371181208428
Ventilator Tank #2,439.67751133748055,271.537981869155,711.2154932066355
Non Invasive Blood Pressure mean,152.9901964746573,554.7286398085329,707.7188362831902
Platelet Count,259.50396819655947,362.6210553844322,622.1250235809916
O2 saturation pulseoxymetry,141.00587270113465,432.0735533321194,573.0794260332541
Glucose (serum),311.9917824097065,216.5077099813697,528.4994923910762
Tidal Volume (spontaneous),320.14199063165705,180.7754330370108,500.9174236686679
Sodium (serum),226.14365491039314,269.0460618727111,495.18971678310425
Vti High,203.88655431749208,263.0940104277628,466.98056474525487
Non Invasive Blood Pressure diastolic,122.54221028674058,322.7945860149681,445.33679630170866
Tidal Volume (set),310.621661203663,132.5188131603583,443.1404743640213
Glucose finger stick (range 70-100),279.75046148772947,146.98065323198082,426.73111471971026
O2 Saturation Pulseoxymetry Alarm - High,80.61751782840827,345.12056449049874,425.738082318907
Heart Rate,290.61974517006166,132.62239413124775,423.2421393013094
Heart rate Alarm - High,152.48604882055974,242.23841702690743,394.7244658474672
