Item,Value
Average Age at ICU Admission,"64.54 (median 66.00, std 15.45)"
[comorbidity] Myocardial infarction,"54, (22.98 %)"
[comorbidity] Congestive heart failure,"85, (36.17 %)"
[comorbidity] Peripheral vascular disease,"25, (10.64 %)"
[comorbidity] Cerebrovascular disease,"69, (29.36 %)"
[comorbidity] Dementia,"6, (2.55 %)"
[comorbidity] Chronic pulmonary disease,"62, (26.38 %)"
[comorbidity] Rheumatic disease,"5, (2.13 %)"
[comorbidity] Peptic ulcer disease,"6, (2.55 %)"
[comorbidity] Mild liver disease,"36, (15.32 %)"
[comorbidity] Diabetes without chronic complication,"52, (22.13 %)"
[comorbidity] Diabetes with chronic complication,"27, (11.49 %)"
[comorbidity] Hemiplegia or paraplegia,"26, (11.06 %)"
[comorbidity] Renal disease,"49, (20.85 %)"
"[comorbidity] Any malignancy, including lymphoma and leukaemia, except malignant neoplasm of skin","37, (15.74 %)"
[comorbidity] Moderate or severe liver disease,"16, (6.81 %)"
[comorbidity] Metastatic solid tumour,"14, (5.96 %)"
[comorbidity] AIDS/HIV,"1, (0.43 %)"
[comorbidity] Average CCI,"4.91 (median 4.00, std 4.34)"
[gender] M,"122, (51.91 %)"
[gender] F,"113, (48.09 %)"
[ethnicity] WHITE,"163, (69.36 %)"
[ethnicity] UNKNOWN,"25, (10.64 %)"
[ethnicity] BLACK/AFRICAN AMERICAN,"19, (8.09 %)"
[ethnicity] OTHER,"14, (5.96 %)"
[ethnicity] ASIAN,"8, (3.40 %)"
[ethnicity] HISPANIC/LATINO,"6, (2.55 %)"
[marital_status] MARRIED,"101, (42.98 %)"
[marital_status] SINGLE,"61, (25.96 %)"
[marital_status] WIDOWED,"27, (11.49 %)"
[marital_status] DIVORCED,"19, (8.09 %)"
[insurance] Other,"122, (51.91 %)"
[insurance] Medicare,"98, (41.70 %)"
[insurance] Medicaid,"15, (6.38 %)"
[admission_type] EW EMER.,"102, (43.40 %)"
[admission_type] URGENT,"57, (24.26 %)"
[admission_type] OBSERVATION ADMIT,"40, (17.02 %)"
[admission_type] SURGICAL SAME DAY ADMISSION,"22, (9.36 %)"
[admission_type] DIRECT EMER.,"11, (4.68 %)"
[admission_type] ELECTIVE,"3, (1.28 %)"
[language] ENGLISH,"214, (91.06 %)"
[language] ?,"21, (8.94 %)"
[hospital_expire_flag] 0,"188, (80.00 %)"
[hospital_expire_flag] 1,"47, (20.00 %)"
Sepsis Prevalence (Sepsis3),"235, (100.00 %)"
Average % of Length of Stay of Sepsis Onset,"36.99 (median 33.80, std 20.45)"
Average Time of Sepsis Onset after ICU Admission (hrs),"66.26 (median 57.95, std 39.01)"
Septic ICU Stays with Sepsis Onset > 24 hrs after Admission,"235, (100.00 %)"
