Item,Value
Average Age at ICU Admission,"64.24 (median 62.00, std 18.35)"
[comorbidity] Myocardial infarction,"2, (9.52 %)"
[comorbidity] Congestive heart failure,"7, (33.33 %)"
[comorbidity] Peripheral vascular disease,"4, (19.05 %)"
[comorbidity] Cerebrovascular disease,"5, (23.81 %)"
[comorbidity] Dementia,"1, (4.76 %)"
[comorbidity] Chronic pulmonary disease,"8, (38.10 %)"
[comorbidity] Rheumatic disease,"0, (0.00 %)"
[comorbidity] Peptic ulcer disease,"0, (0.00 %)"
[comorbidity] Mild liver disease,"2, (9.52 %)"
[comorbidity] Diabetes without chronic complication,"7, (33.33 %)"
[comorbidity] Diabetes with chronic complication,"3, (14.29 %)"
[comorbidity] Hemiplegia or paraplegia,"0, (0.00 %)"
[comorbidity] Renal disease,"7, (33.33 %)"
"[comorbidity] Any malignancy, including lymphoma and leukaemia, except malignant neoplasm of skin","3, (14.29 %)"
[comorbidity] Moderate or severe liver disease,"1, (4.76 %)"
[comorbidity] Metastatic solid tumour,"1, (4.76 %)"
[comorbidity] AIDS/HIV,"0, (0.00 %)"
[comorbidity] Average CCI,"5.43 (median 4.00, std 5.27)"
[gender] F,"12, (57.14 %)"
[gender] M,"9, (42.86 %)"
[ethnicity] WHITE,"10, (47.62 %)"
[ethnicity] BLACK/AFRICAN AMERICAN,"6, (28.57 %)"
[ethnicity] UNKNOWN,"2, (9.52 %)"
[ethnicity] ASIAN,"2, (9.52 %)"
[ethnicity] OTHER,"1, (4.76 %)"
[marital_status] SINGLE,"7, (33.33 %)"
[marital_status] MARRIED,"5, (23.81 %)"
[marital_status] WIDOWED,"4, (19.05 %)"
[marital_status] DIVORCED,"3, (14.29 %)"
[insurance] Other,"11, (52.38 %)"
[insurance] Medicare,"6, (28.57 %)"
[insurance] Medicaid,"4, (19.05 %)"
[admission_type] EW EMER.,"12, (57.14 %)"
[admission_type] OBSERVATION ADMIT,"5, (23.81 %)"
[admission_type] SURGICAL SAME DAY ADMISSION,"2, (9.52 %)"
[admission_type] URGENT,"1, (4.76 %)"
[admission_type] DIRECT EMER.,"1, (4.76 %)"
[language] ENGLISH,"16, (76.19 %)"
[language] ?,"5, (23.81 %)"
[hospital_expire_flag] 0,"16, (76.19 %)"
[hospital_expire_flag] 1,"5, (23.81 %)"
Sepsis Prevalence (Sepsis3),"6, (28.57 %)"
Average % of Length of Stay of Sepsis Onset,"57.65 (median 66.23, std 17.76)"
Average Time of Sepsis Onset after ICU Admission (hrs),"252.88 (median 227.31, std 127.12)"
Septic ICU Stays with Sepsis Onset > 24 hrs after Admission,"6, (100.00 %)"
