Item,Value
Average Age at ICU Admission,"63.92 (median 66.00, std 17.02)"
[comorbidity] Myocardial infarction,"566, (17.97 %)"
[comorbidity] Congestive heart failure,"830, (26.36 %)"
[comorbidity] Peripheral vascular disease,"381, (12.10 %)"
[comorbidity] Cerebrovascular disease,"624, (19.82 %)"
[comorbidity] Dementia,"89, (2.83 %)"
[comorbidity] Chronic pulmonary disease,"792, (25.15 %)"
[comorbidity] Rheumatic disease,"98, (3.11 %)"
[comorbidity] Peptic ulcer disease,"105, (3.33 %)"
[comorbidity] Mild liver disease,"280, (8.89 %)"
[comorbidity] Diabetes without chronic complication,"692, (21.98 %)"
[comorbidity] Diabetes with chronic complication,"323, (10.26 %)"
[comorbidity] Hemiplegia or paraplegia,"221, (7.02 %)"
[comorbidity] Renal disease,"613, (19.47 %)"
"[comorbidity] Any malignancy, including lymphoma and leukaemia, except malignant neoplasm of skin","363, (11.53 %)"
[comorbidity] Moderate or severe liver disease,"103, (3.27 %)"
[comorbidity] Metastatic solid tumour,"207, (6.57 %)"
[comorbidity] AIDS/HIV,"20, (0.64 %)"
[comorbidity] Average CCI,"4.13 (median 3.00, std 4.51)"
[gender] M,"1673, (53.13 %)"
[gender] F,"1476, (46.87 %)"
[ethnicity] WHITE,"2164, (68.72 %)"
[ethnicity] BLACK/AFRICAN AMERICAN,"317, (10.07 %)"
[ethnicity] UNKNOWN,"268, (8.51 %)"
[ethnicity] OTHER,"146, (4.64 %)"
[ethnicity] HISPANIC/LATINO,"119, (3.78 %)"
[ethnicity] ASIAN,"101, (3.21 %)"
[ethnicity] UNABLE TO OBTAIN,"29, (0.92 %)"
[ethnicity] AMERICAN INDIAN/ALASKA NATIVE,"5, (0.16 %)"
[marital_status] MARRIED,"1428, (45.35 %)"
[marital_status] SINGLE,"914, (29.03 %)"
[marital_status] WIDOWED,"385, (12.23 %)"
[marital_status] DIVORCED,"222, (7.05 %)"
[insurance] Other,"1558, (49.48 %)"
[insurance] Medicare,"1357, (43.09 %)"
[insurance] Medicaid,"234, (7.43 %)"
[admission_type] EW EMER.,"1522, (48.33 %)"
[admission_type] URGENT,"544, (17.28 %)"
[admission_type] OBSERVATION ADMIT,"480, (15.24 %)"
[admission_type] SURGICAL SAME DAY ADMISSION,"353, (11.21 %)"
[admission_type] DIRECT EMER.,"127, (4.03 %)"
[admission_type] ELECTIVE,"112, (3.56 %)"
[admission_type] EU OBSERVATION,"7, (0.22 %)"
[admission_type] DIRECT OBSERVATION,"4, (0.13 %)"
[language] ENGLISH,"2820, (89.55 %)"
[language] ?,"329, (10.45 %)"
[hospital_expire_flag] 0,"2936, (93.24 %)"
[hospital_expire_flag] 1,"213, (6.76 %)"
Sepsis Prevalence (Sepsis3),"238, (7.56 %)"
Average % of Length of Stay of Sepsis Onset,"38.88 (median 32.92, std 22.98)"
Average Time of Sepsis Onset after ICU Admission (hrs),"75.50 (median 65.92, std 52.68)"
Septic ICU Stays with Sepsis Onset > 24 hrs after Admission,"238, (100.00 %)"
