Item,Value
Average Age at ICU Admission,"65.47 (median 67.00, std 13.46)"
[comorbidity] Myocardial infarction,"9, (47.37 %)"
[comorbidity] Congestive heart failure,"6, (31.58 %)"
[comorbidity] Peripheral vascular disease,"6, (31.58 %)"
[comorbidity] Cerebrovascular disease,"5, (26.32 %)"
[comorbidity] Dementia,"0, (0.00 %)"
[comorbidity] Chronic pulmonary disease,"6, (31.58 %)"
[comorbidity] Rheumatic disease,"0, (0.00 %)"
[comorbidity] Peptic ulcer disease,"1, (5.26 %)"
[comorbidity] Mild liver disease,"2, (10.53 %)"
[comorbidity] Diabetes without chronic complication,"9, (47.37 %)"
[comorbidity] Diabetes with chronic complication,"2, (10.53 %)"
[comorbidity] Hemiplegia or paraplegia,"2, (10.53 %)"
[comorbidity] Renal disease,"7, (36.84 %)"
"[comorbidity] Any malignancy, including lymphoma and leukaemia, except malignant neoplasm of skin","1, (5.26 %)"
[comorbidity] Moderate or severe liver disease,"1, (5.26 %)"
[comorbidity] Metastatic solid tumour,"0, (0.00 %)"
[comorbidity] AIDS/HIV,"0, (0.00 %)"
[comorbidity] Average CCI,"5.74 (median 5.00, std 4.47)"
[gender] M,"10, (52.63 %)"
[gender] F,"9, (47.37 %)"
[ethnicity] WHITE,"11, (57.89 %)"
[ethnicity] UNKNOWN,"4, (21.05 %)"
[ethnicity] BLACK/AFRICAN AMERICAN,"2, (10.53 %)"
[ethnicity] ASIAN,"1, (5.26 %)"
[ethnicity] UNABLE TO OBTAIN,"1, (5.26 %)"
[marital_status] MARRIED,"9, (47.37 %)"
[marital_status] SINGLE,"2, (10.53 %)"
[marital_status] DIVORCED,"2, (10.53 %)"
[marital_status] WIDOWED,"2, (10.53 %)"
[insurance] Other,"10, (52.63 %)"
[insurance] Medicare,"8, (42.11 %)"
[insurance] Medicaid,"1, (5.26 %)"
[admission_type] EW EMER.,"11, (57.89 %)"
[admission_type] URGENT,"4, (21.05 %)"
[admission_type] OBSERVATION ADMIT,"4, (21.05 %)"
[language] ENGLISH,"19, (100.00 %)"
[hospital_expire_flag] 0,"10, (52.63 %)"
[hospital_expire_flag] 1,"9, (47.37 %)"
Sepsis Prevalence (Sepsis3),"19, (100.00 %)"
Average % of Length of Stay of Sepsis Onset,"45.90 (median 42.21, std 16.29)"
Average Time of Sepsis Onset after ICU Admission (hrs),"158.10 (median 141.01, std 58.89)"
Septic ICU Stays with Sepsis Onset > 24 hrs after Admission,"19, (100.00 %)"
